concurso,data,posicao,numero,valor,tipo_extracao
5023,2020-03-13,3,49622,,regular
5023,2020-03-13,4,98520,,regular
5023,2020-03-13,5,60462,,regular
5024,2020-03-16,1,05784,,regular
5024,2020-03-16,2,01330,,regular
5024,2020-03-16,3,17659,,regular
5024,2020-03-16,4,59813,,regular
5024,2020-03-16,5,25320,,regular
5025,2020-03-19,1,02753,,regular
5025,2020-03-19,2,33601,,regular
5025,2020-03-19,3,46143,,regular
5025,2020-03-19,4,89779,,regular
5025,2020-03-19,5,35642,,regular
5026,2020-03-22,1,56920,,regular
5026,2020-03-22,2,83134,,regular
5026,2020-03-22,3,55097,,regular
5026,2020-03-22,4,00046,,regular
5026,2020-03-22,5,14237,,regular
5027,2020-03-25,1,80948,,regular
5027,2020-03-25,2,08206,,regular
5027,2020-03-25,3,66888,,regular
5027,2020-03-25,4,46538,,regular
5027,2020-03-25,5,92674,,regular
5028,2020-03-28,1,11637,,regular
5028,2020-03-28,2,10866,,regular
5028,2020-03-28,3,56780,,regular
5028,2020-03-28,4,01122,,regular
5028,2020-03-28,5,70228,,regular
5029,2020-03-31,1,49474,,regular
5029,2020-03-31,2,09631,,regular
5029,2020-03-31,3,71641,,regular
5029,2020-03-31,4,90990,,regular
5029,2020-03-31,5,83242,,regular
5030,2020-04-03,1,52980,,regular
5030,2020-04-03,2,03819,,regular
5030,2020-04-03,3,42265,,regular
5030,2020-04-03,4,34411,,regular
5030,2020-04-03,5,61932,,regular
5031,2020-04-06,1,04329,,regular
5031,2020-04-06,2,98410,,regular
5031,2020-04-06,3,73608,,regular
5031,2020-04-06,4,43886,,regular
5031,2020-04-06,5,54273,,regular
5032,2020-04-09,1,45661,,regular
5032,2020-04-09,2,03118,,regular
5032,2020-04-09,3,83771,,regular
5032,2020-04-09,4,83372,,regular
5032,2020-04-09,5,21477,,regular
5033,2020-04-12,1,54924,,regular
5033,2020-04-12,2,08420,,regular
5033,2020-04-12,3,94072,,regular
5033,2020-04-12,4,89004,,regular
5033,2020-04-12,5,18872,,regular
5034,2020-04-15,1,48773,,regular
5034,2020-04-15,2,87655,,regular
5034,2020-04-15,3,30797,,regular
5034,2020-04-15,4,97532,,regular
5034,2020-04-15,5,10272,,regular
5035,2020-04-18,1,82250,,regular
5035,2020-04-18,2,07491,,regular
5035,2020-04-18,3,99360,,regular
5035,2020-04-18,4,67986,,regular
5035,2020-04-18,5,50752,,regular
5036,2020-04-21,1,70455,,regular
5036,2020-04-21,2,40129,,regular
5036,2020-04-21,3,19154,,regular
5036,2020-04-21,4,85974,,regular
5036,2020-04-21,5,38167,,regular
5037,2020-04-24,1,51020,,regular
5037,2020-04-24,2,48298,,regular
5037,2020-04-24,3,16576,,regular
5037,2020-04-24,4,70113,,regular
5037,2020-04-24,5,44266,,regular
5038,2020-04-27,1,67777,,regular
5038,2020-04-27,2,15671,,regular
5038,2020-04-27,3,82525,,regular
5038,2020-04-27,4,21863,,regular
5038,2020-04-27,5,77240,,regular
5039,2020-04-30,1,50626,,regular
5039,2020-04-30,2,56646,,regular
5039,2020-04-30,3,08133,,regular
5039,2020-04-30,4,97171,,regular
5039,2020-04-30,5,17827,,regular
5040,2020-05-03,1,59603,,regular
5040,2020-05-03,2,87614,,regular
5040,2020-05-03,3,02701,,regular
5040,2020-05-03,4,45814,,regular
5040,2020-05-03,5,58946,,regular
5041,2020-05-06,1,96789,,regular
5041,2020-05-06,2,97014,,regular
5041,2020-05-06,3,94389,,regular
5041,2020-05-06,4,93195,,regular
5041,2020-05-06,5,87665,,regular
5042,2020-05-09,1,59132,,regular
5042,2020-05-09,2,39820,,regular
5042,2020-05-09,3,56231,,regular
5042,2020-05-09,4,03703,,regular
5042,2020-05-09,5,20785,,regular
5043,2020-05-12,1,68365,,regular
5043,2020-05-12,2,42579,,regular
5043,2020-05-12,3,67743,,regular
5043,2020-05-12,4,67465,,regular
5043,2020-05-12,5,72951,,regular
5044,2020-05-15,1,18005,,regular
5044,2020-05-15,2,45032,,regular
5044,2020-05-15,3,65552,,regular
5044,2020-05-15,4,13733,,regular
5044,2020-05-15,5,71494,,regular
5045,2020-05-18,1,95201,,regular
5045,2020-05-18,2,48365,,regular
5045,2020-05-18,3,29478,,regular
5045,2020-05-18,4,74735,,regular
5045,2020-05-18,5,44575,,regular
5046,2020-05-21,1,12170,,regular
5046,2020-05-21,2,35618,,regular
5046,2020-05-21,3,66361,,regular
5046,2020-05-21,4,31881,,regular
5046,2020-05-21,5,26643,,regular
5047,2020-05-24,1,42212,,regular
5047,2020-05-24,2,34674,,regular
5047,2020-05-24,3,52188,,regular
5047,2020-05-24,4,05639,,regular
5047,2020-05-24,5,65607,,regular
5048,2020-05-27,1,10533,,regular
5048,2020-05-27,2,25833,,regular
5048,2020-05-27,3,66208,,regular
5048,2020-05-27,4,26148,,regular
5048,2020-05-27,5,99367,,regular
5049,2020-05-30,1,02249,,regular
5049,2020-05-30,2,25449,,regular
5049,2020-05-30,3,35160,,regular
5049,2020-05-30,4,74006,,regular
5049,2020-05-30,5,30268,,regular
5050,2020-06-02,1,11154,,regular
5050,2020-06-02,2,78656,,regular
5050,2020-06-02,3,41553,,regular
5050,2020-06-02,4,10976,,regular
5050,2020-06-02,5,44714,,regular
5051,2020-06-05,1,72683,,regular
5051,2020-06-05,2,70475,,regular
5051,2020-06-05,3,17493,,regular
5051,2020-06-05,4,70016,,regular
5051,2020-06-05,5,17753,,regular
5052,2020-06-08,1,63433,,regular
5052,2020-06-08,2,64525,,regular
5052,2020-06-08,3,95756,,regular
5052,2020-06-08,4,52213,,regular
5052,2020-06-08,5,03699,,regular
5053,2020-06-11,1,33666,,regular
5053,2020-06-11,2,93554,,regular
5053,2020-06-11,3,75752,,regular
5053,2020-06-11,4,63716,,regular
5053,2020-06-11,5,44632,,regular
5054,2020-06-14,1,51880,,regular
5054,2020-06-14,2,29379,,regular
5054,2020-06-14,3,65700,,regular
5054,2020-06-14,4,16528,,regular
5054,2020-06-14,5,79921,,regular
5055,2020-06-17,1,83202,,regular
5055,2020-06-17,2,00781,,regular
5055,2020-06-17,3,78800,,regular
5055,2020-06-17,4,79843,,regular
5055,2020-06-17,5,64811,,regular
5056,2020-06-20,1,45009,,regular
5056,2020-06-20,2,91197,,regular
5056,2020-06-20,3,76627,,regular
5056,2020-06-20,4,16032,,regular
5056,2020-06-20,5,90606,,regular
5057,2020-06-23,1,06872,,regular
5057,2020-06-23,2,47270,,regular
5057,2020-06-23,3,60392,,regular
5057,2020-06-23,4,47427,,regular
5057,2020-06-23,5,87680,,regular
5058,2020-06-26,1,55150,,regular
5058,2020-06-26,2,41354,,regular
5058,2020-06-26,3,47011,,regular
5058,2020-06-26,4,28389,,regular
5058,2020-06-26,5,58857,,regular
5059,2020-06-29,1,44962,,regular
5059,2020-06-29,2,98790,,regular
5059,2020-06-29,3,25227,,regular
5059,2020-06-29,4,23681,,regular
5059,2020-06-29,5,50118,,regular
5060,2020-07-02,1,08184,,regular
5060,2020-07-02,2,54359,,regular
5060,2020-07-02,3,49195,,regular
5060,2020-07-02,4,65598,,regular
5060,2020-07-02,5,34796,,regular
5061,2020-07-05,1,22921,,regular
5061,2020-07-05,2,73273,,regular
5061,2020-07-05,3,49336,,regular
5061,2020-07-05,4,48302,,regular
5061,2020-07-05,5,09064,,regular
5062,2020-07-08,1,38784,,regular
5062,2020-07-08,2,16033,,regular
5062,2020-07-08,3,34788,,regular
5062,2020-07-08,4,65906,,regular
5062,2020-07-08,5,79357,,regular
5063,2020-07-11,1,42235,,regular
5063,2020-07-11,2,07197,,regular
5063,2020-07-11,3,49884,,regular
5063,2020-07-11,4,06763,,regular
5063,2020-07-11,5,76804,,regular
5064,2020-07-14,1,50910,,regular
5064,2020-07-14,2,39126,,regular
5064,2020-07-14,3,14085,,regular
5064,2020-07-14,4,61020,,regular
5064,2020-07-14,5,75173,,regular
5065,2020-07-17,1,92581,,regular
5065,2020-07-17,2,42558,,regular
5065,2020-07-17,3,31807,,regular
5065,2020-07-17,4,84782,,regular
5065,2020-07-17,5,58382,,regular
5066,2020-07-20,1,34853,,regular
5066,2020-07-20,2,57569,,regular
5066,2020-07-20,3,73762,,regular
5066,2020-07-20,4,74910,,regular
5066,2020-07-20,5,45095,,regular
5067,2020-07-23,1,32560,,regular
5067,2020-07-23,2,90501,,regular
5067,2020-07-23,3,59701,,regular
5067,2020-07-23,4,65666,,regular
5067,2020-07-23,5,75360,,regular
5068,2020-07-26,1,36047,,regular
5068,2020-07-26,2,44194,,regular
5068,2020-07-26,3,06392,,regular
5068,2020-07-26,4,23882,,regular
5068,2020-07-26,5,16166,,regular
5069,2020-07-29,1,02609,,regular
5069,2020-07-29,2,56114,,regular
5069,2020-07-29,3,86534,,regular
5069,2020-07-29,4,65071,,regular
5069,2020-07-29,5,96175,,regular
5070,2020-08-01,1,17287,,regular
5070,2020-08-01,2,62563,,regular
5070,2020-08-01,3,70137,,regular
5070,2020-08-01,4,05604,,regular
5070,2020-08-01,5,61644,,regular
5071,2020-08-04,1,71029,,regular
5071,2020-08-04,2,18553,,regular
5071,2020-08-04,3,42708,,regular
5071,2020-08-04,4,48467,,regular
5071,2020-08-04,5,28948,,regular
5072,2020-08-07,1,78340,,regular
5072,2020-08-07,2,04214,,regular
5072,2020-08-07,3,60739,,regular
5072,2020-08-07,4,66075,,regular
5072,2020-08-07,5,78825,,regular
5073,2020-08-10,1,37841,,regular
5073,2020-08-10,2,92503,,regular
5073,2020-08-10,3,76035,,regular
5073,2020-08-10,4,01826,,regular
5073,2020-08-10,5,42024,,regular
5074,2020-08-13,1,95662,,regular
5074,2020-08-13,2,50659,,regular
5074,2020-08-13,3,29828,,regular
5074,2020-08-13,4,90176,,regular
5074,2020-08-13,5,08209,,regular
5075,2020-08-16,1,33208,,regular
5075,2020-08-16,2,37367,,regular
5075,2020-08-16,3,22022,,regular
5075,2020-08-16,4,54533,,regular
5075,2020-08-16,5,46874,,regular
5076,2020-08-19,1,55702,,regular
5076,2020-08-19,2,05689,,regular
5076,2020-08-19,3,79568,,regular
5076,2020-08-19,4,01700,,regular
5076,2020-08-19,5,65117,,regular
5077,2020-08-22,1,88312,,regular
5077,2020-08-22,2,21596,,regular
5077,2020-08-22,3,25983,,regular
5077,2020-08-22,4,06110,,regular
5077,2020-08-22,5,35317,,regular
5078,2020-08-25,1,68782,,regular
5078,2020-08-25,2,21748,,regular
5078,2020-08-25,3,96550,,regular
5078,2020-08-25,4,69629,,regular
5078,2020-08-25,5,25435,,regular
5079,2020-08-28,1,39682,,regular
5079,2020-08-28,2,65514,,regular
5079,2020-08-28,3,61261,,regular
5079,2020-08-28,4,29378,,regular
5079,2020-08-28,5,37020,,regular
5080,2020-08-31,1,69181,,regular
5080,2020-08-31,2,12079,,regular
5080,2020-08-31,3,13530,,regular
5080,2020-08-31,4,58027,,regular
5080,2020-08-31,5,80328,,regular
5081,2020-09-03,1,71429,,regular
5081,2020-09-03,2,73059,,regular
5081,2020-09-03,3,36608,,regular
5081,2020-09-03,4,25598,,regular
5081,2020-09-03,5,68250,,regular
5082,2020-09-06,1,08883,,regular
5082,2020-09-06,2,83294,,regular
5082,2020-09-06,3,51430,,regular
5082,2020-09-06,4,53269,,regular
5082,2020-09-06,5,58793,,regular
5083,2020-09-09,1,14542,,regular
5083,2020-09-09,2,07884,,regular
5083,2020-09-09,3,74712,,regular
5083,2020-09-09,4,56709,,regular
5083,2020-09-09,5,99837,,regular
5084,2020-09-12,1,85732,,regular
5084,2020-09-12,2,57148,,regular
5084,2020-09-12,3,67802,,regular
5084,2020-09-12,4,46722,,regular
5084,2020-09-12,5,20165,,regular
5085,2020-09-15,1,64647,,regular
5085,2020-09-15,2,17637,,regular
5085,2020-09-15,3,25488,,regular
5085,2020-09-15,4,27738,,regular
5085,2020-09-15,5,31629,,regular
5086,2020-09-18,1,04922,,regular
5086,2020-09-18,2,32044,,regular
5086,2020-09-18,3,27285,,regular
5086,2020-09-18,4,09625,,regular
5086,2020-09-18,5,52907,,regular
5087,2020-09-21,1,03389,,regular
5087,2020-09-21,2,01436,,regular
5087,2020-09-21,3,54030,,regular
5087,2020-09-21,4,86011,,regular
5087,2020-09-21,5,42194,,regular
5088,2020-09-24,1,71686,,regular
5088,2020-09-24,2,03925,,regular
5088,2020-09-24,3,05484,,regular
5088,2020-09-24,4,32313,,regular
5088,2020-09-24,5,95783,,regular
5089,2020-09-27,1,57103,,regular
5089,2020-09-27,2,91596,,regular
5089,2020-09-27,3,38192,,regular
5089,2020-09-27,4,24369,,regular
5089,2020-09-27,5,39870,,regular
5090,2020-09-30,1,14774,,regular
5090,2020-09-30,2,37034,,regular
5090,2020-09-30,3,87942,,regular
5090,2020-09-30,4,84283,,regular
5090,2020-09-30,5,42574,,regular
5091,2020-10-03,1,27788,,regular
5091,2020-10-03,2,67566,,regular
5091,2020-10-03,3,03403,,regular
5091,2020-10-03,4,98128,,regular
5091,2020-10-03,5,47386,,regular
5092,2020-10-06,1,20037,,regular
5092,2020-10-06,2,61065,,regular
5092,2020-10-06,3,29482,,regular
5092,2020-10-06,4,54301,,regular
5092,2020-10-06,5,29104,,regular
5093,2020-10-09,1,66919,,regular
5093,2020-10-09,2,86824,,regular
5093,2020-10-09,3,56964,,regular
5093,2020-10-09,4,51206,,regular
5093,2020-10-09,5,73463,,regular
5094,2020-10-12,1,24767,,regular
5094,2020-10-12,2,51129,,regular
5094,2020-10-12,3,10101,,regular
5094,2020-10-12,4,65134,,regular
5094,2020-10-12,5,05582,,regular
5095,2020-10-15,1,37589,,regular
5095,2020-10-15,2,18248,,regular
5095,2020-10-15,3,62343,,regular
5095,2020-10-15,4,95842,,regular
5095,2020-10-15,5,94432,,regular
5096,2020-10-18,1,14003,,regular
5096,2020-10-18,2,16512,,regular
5096,2020-10-18,3,15991,,regular
5096,2020-10-18,4,60306,,regular
5096,2020-10-18,5,46253,,regular
5097,2020-10-21,1,72325,,regular
5097,2020-10-21,2,80558,,regular
5097,2020-10-21,3,02283,,regular
5097,2020-10-21,4,58331,,regular
5097,2020-10-21,5,68271,,regular
5098,2020-10-24,1,46269,,regular
5098,2020-10-24,2,37847,,regular
5098,2020-10-24,3,47551,,regular
5098,2020-10-24,4,27967,,regular
5098,2020-10-24,5,51194,,regular
5099,2020-10-27,1,06191,,regular
5099,2020-10-27,2,13857,,regular
5099,2020-10-27,3,66652,,regular
5099,2020-10-27,4,98698,,regular
5099,2020-10-27,5,12433,,regular
5100,2020-10-30,1,77702,,regular
5100,2020-10-30,2,87088,,regular
5100,2020-10-30,3,42580,,regular
5100,2020-10-30,4,96486,,regular
5100,2020-10-30,5,10848,,regular
5101,2020-11-02,1,87653,,regular
5101,2020-11-02,2,26994,,regular
5101,2020-11-02,3,50368,,regular
5101,2020-11-02,4,23566,,regular
5101,2020-11-02,5,54891,,regular
5102,2020-11-05,1,16534,,regular
5102,2020-11-05,2,62280,,regular
5102,2020-11-05,3,18425,,regular
5102,2020-11-05,4,00696,,regular
5102,2020-11-05,5,21307,,regular
5103,2020-11-08,1,11312,,regular
5103,2020-11-08,2,43388,,regular
5103,2020-11-08,3,04232,,regular
5103,2020-11-08,4,12872,,regular
5103,2020-11-08,5,19190,,regular
5104,2020-11-11,1,28714,,regular
5104,2020-11-11,2,59979,,regular
5104,2020-11-11,3,56387,,regular
5104,2020-11-11,4,26322,,regular
5104,2020-11-11,5,86678,,regular
5105,2020-11-14,1,53040,,regular
5105,2020-11-14,2,07815,,regular
5105,2020-11-14,3,07388,,regular
5105,2020-11-14,4,19883,,regular
5105,2020-11-14,5,14992,,regular
5106,2020-11-17,1,60468,,regular
5106,2020-11-17,2,91186,,regular
5106,2020-11-17,3,11834,,regular
5106,2020-11-17,4,17606,,regular
5106,2020-11-17,5,87601,,regular
5107,2020-11-20,1,05397,,regular
5107,2020-11-20,2,47046,,regular
5107,2020-11-20,3,57602,,regular
5107,2020-11-20,4,27046,,regular
5107,2020-11-20,5,31344,,regular
5108,2020-11-23,1,30819,,regular
5108,2020-11-23,2,56531,,regular
5108,2020-11-23,3,44755,,regular
5108,2020-11-23,4,88026,,regular
5108,2020-11-23,5,18744,,regular
5109,2020-11-26,1,11718,,regular
5109,2020-11-26,2,88509,,regular
5109,2020-11-26,3,01250,,regular
5109,2020-11-26,4,38231,,regular
5109,2020-11-26,5,42910,,regular
5110,2020-11-29,1,87707,,regular
5110,2020-11-29,2,52522,,regular
5110,2020-11-29,3,45292,,regular
5110,2020-11-29,4,30002,,regular
5110,2020-11-29,5,07979,,regular
5111,2020-12-02,1,07596,,regular
5111,2020-12-02,2,72111,,regular
5111,2020-12-02,3,08467,,regular
5111,2020-12-02,4,14460,,regular
5111,2020-12-02,5,32725,,regular
5112,2020-12-05,1,37757,,regular
5112,2020-12-05,2,30732,,regular
5112,2020-12-05,3,16398,,regular
5112,2020-12-05,4,73051,,regular
5112,2020-12-05,5,00105,,regular
5113,2020-12-08,1,79258,,regular
5113,2020-12-08,2,83992,,regular
5113,2020-12-08,3,71189,,regular
5113,2020-12-08,4,34506,,regular
5113,2020-12-08,5,55164,,regular
5114,2020-12-11,1,72768,,regular
5114,2020-12-11,2,48201,,regular
5114,2020-12-11,3,48576,,regular
5114,2020-12-11,4,82062,,regular
5114,2020-12-11,5,17072,,regular
5115,2020-12-14,1,54639,,regular
5115,2020-12-14,2,04354,,regular
5115,2020-12-14,3,78991,,regular
5115,2020-12-14,4,37922,,regular
5115,2020-12-14,5,45856,,regular
5116,2020-12-17,1,41087,,regular
5116,2020-12-17,2,90470,,regular
5116,2020-12-17,3,00430,,regular
5116,2020-12-17,4,45946,,regular
5116,2020-12-17,5,66369,,regular
5117,2020-12-20,1,99464,,regular
5117,2020-12-20,2,00379,,regular
5117,2020-12-20,3,84751,,regular
5117,2020-12-20,4,38552,,regular
5117,2020-12-20,5,10470,,regular
5118,2020-12-23,1,49613,,regular
5118,2020-12-23,2,94321,,regular
5118,2020-12-23,3,24073,,regular
5118,2020-12-23,4,79955,,regular
5118,2020-12-23,5,42682,,regular
5119,2020-12-26,1,58290,,regular
5119,2020-12-26,2,13712,,regular
5119,2020-12-26,3,96132,,regular
5119,2020-12-26,4,78162,,regular
5119,2020-12-26,5,97724,,regular
5120,2020-12-29,1,69998,,regular
5120,2020-12-29,2,26047,,regular
5120,2020-12-29,3,52307,,regular
5120,2020-12-29,4,83218,,regular
5120,2020-12-29,5,88916,,regular
5121,2021-01-01,1,09254,,regular
5121,2021-01-01,2,25123,,regular
5121,2021-01-01,3,26914,,regular
5121,2021-01-01,4,94672,,regular
5121,2021-01-01,5,46958,,regular
5122,2021-01-04,1,56016,,regular
5122,2021-01-04,2,63028,,regular
5122,2021-01-04,3,37132,,regular
5122,2021-01-04,4,85653,,regular
5122,2021-01-04,5,72459,,regular
5123,2021-01-07,1,71391,,regular
5123,2021-01-07,2,21411,,regular
5123,2021-01-07,3,50762,,regular
5123,2021-01-07,4,03501,,regular
5123,2021-01-07,5,34126,,regular
5124,2021-01-10,1,95514,,regular
5124,2021-01-10,2,04078,,regular
5124,2021-01-10,3,81970,,regular
5124,2021-01-10,4,88141,,regular
5124,2021-01-10,5,21149,,regular
5125,2021-01-13,1,25254,,regular
5125,2021-01-13,2,47909,,regular
5125,2021-01-13,3,24117,,regular
5125,2021-01-13,4,13213,,regular
5125,2021-01-13,5,17875,,regular
5126,2021-01-16,1,93644,,regular
5126,2021-01-16,2,79258,,regular
5126,2021-01-16,3,13290,,regular
5126,2021-01-16,4,35448,,regular
5126,2021-01-16,5,15893,,regular
5127,2021-01-19,1,09645,,regular
5127,2021-01-19,2,47331,,regular
5127,2021-01-19,3,07442,,regular
5127,2021-01-19,4,33403,,regular
5127,2021-01-19,5,47336,,regular
5128,2021-01-22,1,17051,,regular
5128,2021-01-22,2,33039,,regular
5128,2021-01-22,3,53837,,regular
5128,2021-01-22,4,12159,,regular
5128,2021-01-22,5,81405,,regular
5129,2021-01-25,1,34076,,regular
5129,2021-01-25,2,68081,,regular
5129,2021-01-25,3,72576,,regular
5129,2021-01-25,4,15647,,regular
5129,2021-01-25,5,87324,,regular
5130,2021-01-28,1,70114,,regular
5130,2021-01-28,2,15853,,regular
5130,2021-01-28,3,43226,,regular
5130,2021-01-28,4,37604,,regular
5130,2021-01-28,5,83622,,regular
5131,2021-01-31,1,99884,,regular
5131,2021-01-31,2,86238,,regular
5131,2021-01-31,3,40424,,regular
5131,2021-01-31,4,57607,,regular
5131,2021-01-31,5,30798,,regular
5132,2021-02-03,1,00701,,regular
5132,2021-02-03,2,12264,,regular
5132,2021-02-03,3,14843,,regular
5132,2021-02-03,4,81175,,regular
5132,2021-02-03,5,13228,,regular
5133,2021-02-06,1,57795,,regular
5133,2021-02-06,2,50889,,regular
5133,2021-02-06,3,47024,,regular
5133,2021-02-06,4,88354,,regular
5133,2021-02-06,5,23631,,regular
5134,2021-02-09,1,17341,,regular
5134,2021-02-09,2,50779,,regular
5134,2021-02-09,3,00045,,regular
5134,2021-02-09,4,54441,,regular
5134,2021-02-09,5,27480,,regular
5135,2021-02-12,1,31454,,regular
5135,2021-02-12,2,00560,,regular
5135,2021-02-12,3,54684,,regular
5135,2021-02-12,4,16992,,regular
5135,2021-02-12,5,10991,,regular
5136,2021-02-15,1,22891,,regular
5136,2021-02-15,2,70271,,regular
5136,2021-02-15,3,34954,,regular
5136,2021-02-15,4,55220,,regular
5136,2021-02-15,5,22039,,regular
5137,2021-02-18,1,51135,,regular
5137,2021-02-18,2,40052,,regular
5137,2021-02-18,3,08509,,regular
5137,2021-02-18,4,03123,,regular
5137,2021-02-18,5,15992,,regular
5138,2021-02-21,1,74574,,regular
5138,2021-02-21,2,51601,,regular
5138,2021-02-21,3,34880,,regular
5138,2021-02-21,4,74504,,regular
5138,2021-02-21,5,07020,,regular
5139,2021-02-24,1,83638,,regular
5139,2021-02-24,2,88441,,regular
5139,2021-02-24,3,71250,,regular
5139,2021-02-24,4,93626,,regular
5139,2021-02-24,5,24640,,regular
5140,2021-02-27,1,40675,,regular
5140,2021-02-27,2,40816,,regular
5140,2021-02-27,3,78308,,regular
5140,2021-02-27,4,71749,,regular
5140,2021-02-27,5,86744,,regular
5141,2021-03-02,1,44330,,regular
5141,2021-03-02,2,02970,,regular
5141,2021-03-02,3,87239,,regular
5141,2021-03-02,4,19040,,regular
5141,2021-03-02,5,40385,,regular
5142,2021-03-05,1,37340,,regular
5142,2021-03-05,2,26209,,regular
5142,2021-03-05,3,55964,,regular
5142,2021-03-05,4,27782,,regular
5142,2021-03-05,5,65207,,regular
5143,2021-03-08,1,05893,,regular
5143,2021-03-08,2,55407,,regular
5143,2021-03-08,3,08606,,regular
5143,2021-03-08,4,20179,,regular
5143,2021-03-08,5,22302,,regular
5144,2021-03-11,1,87303,,regular
5144,2021-03-11,2,06205,,regular
5144,2021-03-11,3,72073,,regular
5144,2021-03-11,4,29147,,regular
5144,2021-03-11,5,08222,,regular
5145,2021-03-14,1,58848,,regular
5145,2021-03-14,2,75797,,regular
5145,2021-03-14,3,24880,,regular
5145,2021-03-14,4,52523,,regular
5145,2021-03-14,5,74625,,regular
5146,2021-03-17,1,94154,,regular
5146,2021-03-17,2,56888,,regular
5146,2021-03-17,3,93210,,regular
5146,2021-03-17,4,70097,,regular
